Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
Cr2Br2S2,0,-0.807,6,327.92,-34.982,0,0,358.835,0.46,0.455
In2Br2S2,0,-0.703,6,453.564,-21.069,0,0,438.642,1.904,1.908
Tl2Br2O2,0,-0.641,6,600.566,-22.259,0,0,346.741,1.022,1.013
Zr2Cl2N2,0,-1.86,6,281.362,-46.244,0,0,312.331,1.851,1.849
Rh2Cl2S2,0.098,-0.62,6,340.831,-29.741,0,0,350.645,0,0.011
Co2I2Se2,2.909,-0.233,6,529.617,-27.776,0,0,366.858,0,0
VSeTe,0,-0.502,3,257.512,-16.719,0,0,190.425,0.13,0.12
Sn2Te2,0,-0.215,4,492.62,-15.384,0,0,356.351,0.781,0.603
In2P2S6,0,-0.318,10,483.944,-43.908,0,0,687.849,0.845,0.839
Cr2Mo2Se8,0,-0.581,12,927.66,-76.058,0,0,678.38,0.89,0.819
HfNiBr6,0,-1.047,8,716.607,-32.639,0,0,677.731,1.372,1.355
HgI2,0,-0.33,3,454.401,-4.832,0,0.008,367.366,2.503,2.224
Hf2Ti2Br7Cl,0,-1.21,12,1047.492,-55.785,0,0.01,821.41,0.546,0.529
Ni2S3Se,0,-0.284,6,292.538,-31.916,0,0.009,476.837,0.259,0.255
CdBrI,0,-0.743,3,319.222,-6.218,0,0.005,280.197,2.558,2.179
Mn2Te3,2.156,-0.115,5,492.676,-29.625,0,0.005,294.771,0,0
IrITe,0,-0.189,3,446.721,-14.525,0,0.009,242.298,1.372,1.038
NaW2Cl6O2,1.54,-1.462,11,635.368,-61.32,0,0.01,1289.825,0,0
Ge2SSe,0,-0.222,4,256.291,-17.481,0,0.009,290.019,1.304,1.262
BiScCl2O2,0,-2.103,6,356.834,-35.77,0,0.006,296.301,2.888,2.371
Al2BrIS2,0,-0.987,6,324.892,-24.619,0,0.006,473.422,1.313,1.233
MnNiS2Se2,3.632,-0.371,6,335.693,-34.313,0,0.009,356.05,0,0
Al2Br2SSe,0,-1.003,6,324.802,-24.224,0,0.008,373.367,1.902,1.893
